time,proto,data_len,ip_src,ip_dst,src_port,dst_port
1499254962084372,17,145,192.168.10.15,239.255.255.250,49792,1900
1499254962084377,17,145,192.168.10.15,239.255.255.250,49792,1900
1499254962084378,17,145,192.168.10.15,239.255.255.250,49792,1900
1499254962084379,17,145,192.168.10.15,239.255.255.250,49792,1900
1499254962084380,17,145,192.168.10.15,239.255.255.250,49792,1900
1499254962084381,17,145,192.168.10.15,239.255.255.250,49792,1900
1499254962084382,17,145,192.168.10.15,239.255.255.250,49792,1900
1499254962084383,17,145,192.168.10.15,239.255.255.250,49792,1900
1499254962084385,17,145,192.168.10.15,239.255.255.250,49792,1900
1499254962084386,17,145,192.168.10.15,239.255.255.250,49792,1900
1499254962084387,17,145,192.168.10.15,239.255.255.250,49792,1900
1499254962234259,6,869,40.83.143.209,192.168.10.14,443,49461
1499254962282021,17,219,192.168.10.17,224.0.0.251,5353,5353
1499254962282025,17,219,192.168.10.17,224.0.0.251,5353,5353
1499254962282026,17,219,192.168.10.17,224.0.0.251,5353,5353
1499254962282028,17,219,192.168.10.17,224.0.0.251,5353,5353
1499254962282029,17,219,192.168.10.17,224.0.0.251,5353,5353
1499254962282030,17,219,192.168.10.17,224.0.0.251,5353,5353
1499254962282031,17,219,192.168.10.17,224.0.0.251,5353,5353
1499254962282032,17,219,192.168.10.17,224.0.0.251,5353,5353
1499254962282034,17,219,192.168.10.17,224.0.0.251,5353,5353
1499254962282063,17,219,192.168.10.17,224.0.0.251,5353,5353
1499254962282063,6,6,192.168.10.14,40.83.143.209,49461,443
1499254962282064,17,219,192.168.10.17,224.0.0.251,5353,5353
1499254962389541,17,53,192.168.10.19,224.0.0.251,5353,5353
1499254962389544,17,53,192.168.10.19,224.0.0.251,5353,5353
1499254962389545,17,53,192.168.10.19,224.0.0.251,5353,5353
1499254962389547,17,53,192.168.10.19,224.0.0.251,5353,5353
1499254962389548,17,53,192.168.10.19,224.0.0.251,5353,5353
1499254962389549,17,53,192.168.10.19,224.0.0.251,5353,5353
1499254962389550,17,53,192.168.10.19,224.0.0.251,5353,5353
1499254962389551,17,53,192.168.10.19,224.0.0.251,5353,5353
1499254962389552,17,53,192.168.10.19,224.0.0.251,5353,5353
1499254962389553,17,53,192.168.10.19,224.0.0.251,5353,5353
1499254962389554,17,53,192.168.10.19,224.0.0.251,5353,5353
1499254962448456,6,277,192.168.10.14,40.83.143.209,49460,443
1499254962448560,6,1440,192.168.10.14,40.83.143.209,49460,443
1499254962448610,6,2197,192.168.10.14,40.83.143.209,49460,443
1499254962482042,17,201,192.168.10.17,224.0.0.251,5353,5353
1499254962482046,17,201,192.168.10.17,224.0.0.251,5353,5353
1499254962482048,17,201,192.168.10.17,224.0.0.251,5353,5353
1499254962482049,17,201,192.168.10.17,224.0.0.251,5353,5353
1499254962482051,17,201,192.168.10.17,224.0.0.251,5353,5353
1499254962482052,17,201,192.168.10.17,224.0.0.251,5353,5353
1499254962482053,17,201,192.168.10.17,224.0.0.251,5353,5353
1499254962482054,17,201,192.168.10.17,224.0.0.251,5353,5353
1499254962482056,17,201,192.168.10.17,224.0.0.251,5353,5353
1499254962482057,17,201,192.168.10.17,224.0.0.251,5353,5353
1499254962482058,17,201,192.168.10.17,224.0.0.251,5353,5353
1499254962534975,6,6,40.83.143.209,192.168.10.14,443,49460
1499254962535235,6,6,40.83.143.209,192.168.10.14,443,49460
1499254962733909,17,31,192.168.10.17,192.168.10.3,34492,53
1499254962733912,17,31,192.168.10.17,192.168.10.3,34492,53
1499254962734131,17,106,192.168.10.3,192.168.10.17,53,34492
1499254962734133,17,106,192.168.10.3,192.168.10.17,53,34492
1499254962790915,17,56,192.168.10.16,158.69.223.100,123,123
1499254962790920,17,56,192.168.10.16,159.203.8.72,123,123
1499254962807365,17,56,158.69.223.100,192.168.10.16,123,123
1499254962813508,17,56,159.203.8.72,192.168.10.16,123,123
1499254962833898,17,31,192.168.10.17,192.168.10.3,15221,53
1499254962833946,17,31,192.168.10.17,192.168.10.3,15221,53
1499254962834086,17,106,192.168.10.3,192.168.10.17,53,15221
1499254962834088,17,106,192.168.10.3,192.168.10.17,53,15221
1499254962858502,17,56,192.168.10.19,38.126.113.10,123,123
1499254962858505,17,56,192.168.10.19,99.224.25.39,123,123
1499254962858506,17,56,192.168.10.19,132.163.4.101,123,123
1499254962891744,17,76,192.168.10.17,192.168.10.255,137,137
1499254962891750,17,76,192.168.10.17,192.168.10.255,137,137
1499254962891751,17,76,192.168.10.17,192.168.10.255,137,137
1499254962891752,17,76,192.168.10.17,192.168.10.255,137,137
1499254962891753,17,76,192.168.10.17,192.168.10.255,137,137
1499254962891755,17,76,192.168.10.17,192.168.10.255,137,137
1499254962891756,17,76,192.168.10.17,192.168.10.255,137,137
1499254962891757,17,76,192.168.10.17,192.168.10.255,137,137
1499254962891758,17,76,192.168.10.17,192.168.10.255,137,137
1499254962891759,17,76,192.168.10.17,192.168.10.255,137,137
1499254962891760,17,76,192.168.10.17,192.168.10.255,137,137
1499254962891761,17,76,192.168.10.17,192.168.10.255,137,137
1499254962891762,17,76,192.168.10.17,192.168.10.255,137,137
1499254962891763,17,76,192.168.10.17,192.168.10.255,137,137
1499254962891765,17,76,192.168.10.17,192.168.10.255,137,137
1499254962891766,17,76,192.168.10.17,192.168.10.255,137,137
1499254962891767,17,76,192.168.10.17,192.168.10.255,137,137
1499254962891768,17,76,192.168.10.17,192.168.10.255,137,137
1499254962891770,17,76,192.168.10.17,192.168.10.255,137,137
1499254962891771,17,76,192.168.10.17,192.168.10.255,137,137
1499254962891772,17,76,192.168.10.17,192.168.10.255,137,137
1499254962891773,17,76,192.168.10.17,192.168.10.255,137,137
1499254962891775,17,76,192.168.10.17,192.168.10.255,137,137
1499254962891776,17,76,192.168.10.17,192.168.10.255,137,137
1499254962891777,17,76,192.168.10.17,192.168.10.255,137,137
1499254962891778,17,76,192.168.10.17,192.168.10.255,137,137
1499254962891779,17,76,192.168.10.17,192.168.10.255,137,137
1499254962891780,17,76,192.168.10.17,192.168.10.255,137,137
1499254962891781,17,76,192.168.10.17,192.168.10.255,137,137
1499254962891782,17,76,192.168.10.17,192.168.10.255,137,137
1499254962891784,17,76,192.168.10.17,192.168.10.255,137,137
1499254962891785,17,76,192.168.10.17,192.168.10.255,137,137
1499254962891786,17,76,192.168.10.17,192.168.10.255,137,137
1499254962891787,17,76,192.168.10.17,192.168.10.255,137,137
1499254962891788,17,76,192.168.10.17,192.168.10.255,137,137
